fecha,mes,semana_anio,lluvia_semanal_mm_pred,temperatura_media_c_pred,precio_urea_usd_kg_pred,precio_fungicida_usd_l_pred,precio_gasoil_usd_l_pred,precio_limon_exportacion_usd_t_pred,precio_limon_industria_usd_t_pred
2026-08-10,8,33,0.0,14.6,0.63,18.94,1.21,427.55,62.25
2026-08-17,8,34,0.0,14.4,0.63,18.94,1.21,433.04,62.93
2026-08-24,8,35,0.6,17.4,0.63,18.95,1.21,442.78,59.22
2026-08-31,8,36,0.6,16.7,0.63,18.95,1.21,448.49,61.28
2026-09-07,9,37,7.1,20.5,0.63,18.95,1.21,433.73,59.1
2026-09-14,9,38,11.7,21.3,0.63,18.95,1.21,438.13,62.26
2026-09-21,9,39,8.4,19.8,0.63,18.96,1.21,444.85,67.53
2026-09-28,9,40,9.0,19.5,0.63,18.96,1.21,424.61,62.0
2026-10-05,10,41,6.7,21.3,0.63,18.96,1.21,427.62,62.09
2026-10-12,10,42,8.9,21.7,0.63,18.97,1.21,420.71,66.99
2026-10-19,10,43,6.9,21.3,0.63,18.97,1.21,433.03,63.34
2026-10-26,10,44,18.3,22.6,0.63,18.97,1.21,444.14,56.95
2026-11-02,11,45,27.3,22.0,0.63,18.97,1.21,431.29,54.54
2026-11-09,11,46,28.7,27.0,0.63,18.98,1.21,431.29,65.16
2026-11-16,11,47,40.3,26.7,0.63,18.98,1.21,424.18,66.22
2026-11-23,11,48,29.1,27.2,0.63,18.98,1.21,446.32,60.98
2026-11-30,11,49,29.3,25.7,0.63,18.99,1.21,440.67,67.23
2026-12-07,12,50,33.0,25.4,0.63,18.99,1.21,451.25,58.85
2026-12-14,12,51,30.3,27.1,0.63,18.99,1.21,432.46,60.51
2026-12-21,12,52,35.5,27.0,0.63,18.99,1.21,446.91,58.08
2026-12-28,12,53,30.3,26.5,0.63,19.0,1.21,426.01,59.08
2027-01-04,1,1,39.7,27.0,0.63,19.0,1.21,453.05,61.61
2027-01-11,1,2,31.4,28.1,0.63,19.0,1.21,446.05,66.01
2027-01-18,1,3,26.3,27.4,0.63,19.01,1.21,455.38,61.67
2027-01-25,1,4,27.1,27.0,0.63,19.01,1.21,437.62,56.77
2027-02-01,2,5,38.8,26.7,0.63,19.01,1.21,445.94,56.71
2027-02-08,2,6,35.3,24.8,0.63,19.01,1.21,448.86,65.7
2027-02-15,2,7,28.3,26.8,0.63,19.02,1.21,442.69,57.79
2027-02-22,2,8,37.3,26.6,0.63,19.02,1.21,464.03,60.5
2027-03-01,3,9,30.6,27.2,0.63,19.02,1.21,446.63,58.02
2027-03-08,3,10,29.8,26.8,0.63,19.03,1.21,439.83,57.77
2027-03-15,3,11,34.8,25.6,0.63,19.03,1.21,470.93,60.23
2027-03-22,3,12,26.8,27.3,0.63,19.03,1.21,462.34,64.14
2027-03-29,3,13,28.9,24.5,0.63,19.04,1.21,440.75,63.96
2027-04-05,4,14,19.5,23.4,0.63,19.04,1.21,433.59,59.39
2027-04-12,4,15,12.4,21.1,0.63,19.04,1.21,441.15,59.14
2027-04-19,4,16,9.6,19.7,0.63,19.04,1.21,437.17,62.27
2027-04-26,4,17,13.0,21.6,0.63,19.05,1.22,422.87,59.05
2027-05-03,5,18,7.2,22.3,0.63,19.05,1.22,431.69,53.52
2027-05-10,5,19,8.7,21.3,0.63,19.05,1.22,437.98,60.66
2027-05-17,5,20,15.4,20.9,0.63,19.06,1.22,432.83,55.94
2027-05-24,5,21,8.9,18.7,0.63,19.06,1.22,429.58,58.16
2027-05-31,5,22,5.6,18.4,0.63,19.06,1.22,428.28,58.06
2027-06-07,6,23,0.0,14.0,0.63,19.06,1.22,421.11,53.72
2027-06-14,6,24,0.0,14.3,0.63,19.07,1.22,421.87,52.3
2027-06-21,6,25,0.0,16.0,0.63,19.07,1.22,427.73,58.53
2027-06-28,6,26,0.0,16.1,0.63,19.07,1.22,424.69,61.32
2027-07-05,7,27,0.3,17.4,0.63,19.08,1.22,428.3,61.3
2027-07-12,7,28,0.0,17.1,0.63,19.08,1.22,439.26,60.04
2027-07-19,7,29,0.4,15.2,0.63,19.08,1.22,428.56,60.29
2027-07-26,7,30,0.0,13.2,0.63,19.08,1.22,436.91,55.68
2027-08-02,8,31,0.0,15.1,0.63,19.09,1.22,456.19,56.2
