fecha,lote_id,nombre_finca,demanda_urea_kg_ha,demanda_fungicida_l_ha,demanda_gasoil_l_ha,costo_insumos_usd_ha,costo_total_lote_usd
2026-08-10,LOT-001,Finca 3,0.0,0.0,4.5,5.45,2377.29
2026-08-17,LOT-001,Finca 3,0.0,0.0,6.0,7.26,3169.72
2026-08-24,LOT-001,Finca 3,0.0,0.0,6.9,8.35,3645.17
2026-08-31,LOT-001,Finca 3,0.0,0.0,5.7,6.9,3011.23
2026-09-07,LOT-001,Finca 3,48.9,0.0,5.8,37.82,16514.4
2026-09-14,LOT-001,Finca 3,48.8,0.0,5.4,37.28,16275.57
2026-09-21,LOT-001,Finca 3,48.3,0.0,5.4,36.96,16138.05
2026-09-28,LOT-001,Finca 3,34.6,0.0,5.0,27.85,12158.44
2026-10-05,LOT-001,Finca 3,42.2,0.0,5.5,33.24,14513.02
2026-10-12,LOT-001,Finca 3,38.1,0.0,5.7,30.9,13490.94
2026-10-19,LOT-001,Finca 3,30.0,0.0,5.7,25.8,11262.97
2026-10-26,LOT-001,Finca 3,35.4,0.0,4.5,27.75,12114.34
2026-11-02,LOT-001,Finca 3,35.2,2.4,4.9,73.63,32148.17
2026-11-09,LOT-001,Finca 3,34.5,2.6,6.3,78.71,34363.04
2026-11-16,LOT-001,Finca 3,41.1,1.7,5.4,64.69,28244.96
2026-11-23,LOT-001,Finca 3,42.7,1.8,5.7,67.96,29672.21
2026-11-30,LOT-001,Finca 3,42.9,2.5,5.6,81.28,35485.97
2026-12-07,LOT-001,Finca 3,41.1,2.8,5.6,85.84,37478.18
2026-12-14,LOT-001,Finca 3,40.5,2.3,5.3,75.6,33009.14
2026-12-21,LOT-001,Finca 3,39.5,2.6,6.3,81.88,35749.68
2026-12-28,LOT-001,Finca 3,41.5,2.6,5.5,82.2,35888.52
2027-01-04,LOT-001,Finca 3,0.0,3.2,5.6,67.58,29503.68
2027-01-11,LOT-001,Finca 3,0.0,1.9,5.3,42.51,18561.18
2027-01-18,LOT-001,Finca 3,0.0,2.3,5.6,50.5,22047.86
2027-01-25,LOT-001,Finca 3,0.0,2.3,5.2,50.02,21836.55
2027-02-01,LOT-001,Finca 3,0.0,2.8,5.3,59.64,26039.26
2027-02-08,LOT-001,Finca 3,0.0,1.5,5.0,34.56,15091.08
2027-02-15,LOT-001,Finca 3,0.0,3.0,5.8,64.08,27976.45
2027-02-22,LOT-001,Finca 3,0.0,3.2,5.3,67.28,29373.14
2027-03-01,LOT-001,Finca 3,0.0,2.8,5.8,60.27,26315.63
2027-03-08,LOT-001,Finca 3,0.0,1.9,5.2,42.45,18533.23
2027-03-15,LOT-001,Finca 3,0.0,2.9,5.5,61.84,27000.22
2027-03-22,LOT-001,Finca 3,0.0,2.1,5.9,47.1,20564.73
2027-03-29,LOT-001,Finca 3,0.0,2.5,5.6,54.38,23740.56
2027-04-05,LOT-001,Finca 3,0.0,0.0,6.7,8.11,3539.52
2027-04-12,LOT-001,Finca 3,0.0,0.0,6.0,7.26,3169.72
2027-04-19,LOT-001,Finca 3,0.0,0.0,6.0,7.26,3169.72
2027-04-26,LOT-001,Finca 3,0.0,0.0,5.7,6.95,3036.12
2027-05-03,LOT-001,Finca 3,0.0,0.0,5.8,7.08,3089.38
2027-05-10,LOT-001,Finca 3,0.0,0.0,6.2,7.56,3302.44
2027-05-17,LOT-001,Finca 3,0.0,0.0,5.3,6.47,2823.06
2027-05-24,LOT-001,Finca 3,0.0,0.0,6.0,7.32,3195.91
2027-05-31,LOT-001,Finca 3,0.0,0.0,5.5,6.71,2929.59
2027-06-07,LOT-001,Finca 3,0.0,0.0,5.5,6.71,2929.59
2027-06-14,LOT-001,Finca 3,0.0,0.0,6.1,7.44,3249.18
2027-06-21,LOT-001,Finca 3,0.0,0.0,6.7,8.17,3568.77
2027-06-28,LOT-001,Finca 3,0.0,0.0,5.7,6.95,3036.12
2027-07-05,LOT-001,Finca 3,0.0,0.0,6.7,8.17,3568.77
2027-07-12,LOT-001,Finca 3,0.0,0.0,6.1,7.44,3249.18
2027-07-19,LOT-001,Finca 3,0.0,0.0,6.0,7.32,3195.91
2027-07-26,LOT-001,Finca 3,0.0,0.0,6.0,7.32,3195.91
2027-08-02,LOT-001,Finca 3,0.0,0.0,5.7,6.95,3036.12
2026-08-10,LOT-002,Finca 5,0.0,0.0,6.2,7.5,3136.59
2026-08-17,LOT-002,Finca 5,0.0,0.0,6.1,7.38,3086.0
2026-08-24,LOT-002,Finca 5,0.0,0.0,6.0,7.26,3035.41
2026-08-31,LOT-002,Finca 5,0.0,0.0,6.0,7.26,3035.41
2026-09-07,LOT-002,Finca 5,42.3,0.0,5.4,33.18,13873.81
2026-09-14,LOT-002,Finca 5,40.3,0.0,5.5,32.04,13397.6
2026-09-21,LOT-002,Finca 5,53.3,0.0,5.5,40.23,16821.84
2026-09-28,LOT-002,Finca 5,39.7,0.0,6.1,32.39,13543.1
2026-10-05,LOT-002,Finca 5,37.2,0.0,5.9,30.58,12783.41
2026-10-12,LOT-002,Finca 5,36.1,0.0,5.6,29.52,12341.89
2026-10-19,LOT-002,Finca 5,40.9,0.0,5.8,32.78,13707.41
2026-10-26,LOT-002,Finca 5,33.7,0.0,4.9,27.16,11355.6
2026-11-02,LOT-002,Finca 5,45.8,2.9,5.3,90.28,37746.07
2026-11-09,LOT-002,Finca 5,45.0,2.5,6.1,83.18,34777.98
2026-11-16,LOT-002,Finca 5,39.9,2.0,5.3,69.51,29062.13
2026-11-23,LOT-002,Finca 5,46.0,2.4,5.3,80.94,33843.1
2026-11-30,LOT-002,Finca 5,39.4,2.9,7.1,88.48,36995.16
2026-12-07,LOT-002,Finca 5,42.8,2.3,6.0,77.9,32570.41
2026-12-14,LOT-002,Finca 5,39.3,2.3,5.3,74.85,31294.37
2026-12-21,LOT-002,Finca 5,34.4,2.5,5.4,75.68,31642.23
2026-12-28,LOT-002,Finca 5,40.2,2.4,5.1,77.1,32234.26
2027-01-04,LOT-002,Finca 5,0.0,2.4,5.3,52.01,21746.64
2027-01-11,LOT-002,Finca 5,0.0,2.4,5.9,52.74,22050.18
2027-01-18,LOT-002,Finca 5,0.0,3.2,6.4,68.58,28671.63
2027-01-25,LOT-002,Finca 5,0.0,2.8,5.8,60.25,25188.85
2027-02-01,LOT-002,Finca 5,0.0,2.8,5.0,59.28,24784.13
2027-02-08,LOT-002,Finca 5,0.0,1.8,6.6,42.2,17645.49
2027-02-15,LOT-002,Finca 5,0.0,2.8,6.5,61.12,25554.69
2027-02-22,LOT-002,Finca 5,0.0,2.0,5.4,44.57,18636.39
2027-03-01,LOT-002,Finca 5,0.0,2.0,5.4,44.57,18636.39
2027-03-08,LOT-002,Finca 5,0.0,2.1,5.2,46.26,19339.22
2027-03-15,LOT-002,Finca 5,0.0,1.8,5.5,40.91,17104.05
2027-03-22,LOT-002,Finca 5,0.0,2.5,6.3,55.2,23078.28
2027-03-29,LOT-002,Finca 5,0.0,2.1,5.3,46.4,19398.59
2027-04-05,LOT-002,Finca 5,0.0,0.0,5.8,7.02,2934.23
2027-04-12,LOT-002,Finca 5,0.0,0.0,6.1,7.38,3086.0
2027-04-19,LOT-002,Finca 5,0.0,0.0,6.4,7.74,3237.77
2027-04-26,LOT-002,Finca 5,0.0,0.0,6.3,7.69,3213.52
2027-05-03,LOT-002,Finca 5,0.0,0.0,6.2,7.56,3162.51
2027-05-10,LOT-002,Finca 5,0.0,0.0,6.1,7.44,3111.5
2027-05-17,LOT-002,Finca 5,0.0,0.0,6.4,7.81,3264.52
2027-05-24,LOT-002,Finca 5,0.0,0.0,5.5,6.71,2805.45
2027-05-31,LOT-002,Finca 5,0.0,0.0,6.1,7.44,3111.5
2027-06-07,LOT-002,Finca 5,0.0,0.0,6.7,8.17,3417.55
2027-06-14,LOT-002,Finca 5,0.0,0.0,6.6,8.05,3366.54
2027-06-21,LOT-002,Finca 5,0.0,0.0,6.1,7.44,3111.5
2027-06-28,LOT-002,Finca 5,0.0,0.0,6.0,7.32,3060.49
2027-07-05,LOT-002,Finca 5,0.0,0.0,6.9,8.42,3519.57
2027-07-12,LOT-002,Finca 5,0.0,0.0,7.2,8.78,3672.59
2027-07-19,LOT-002,Finca 5,0.0,0.0,6.2,7.56,3162.51
2027-07-26,LOT-002,Finca 5,0.0,0.0,6.7,8.17,3417.55
2027-08-02,LOT-002,Finca 5,0.0,0.0,5.9,7.2,3009.48
2026-08-10,LOT-003,Finca 3,0.0,0.0,4.9,5.93,984.21
2026-08-17,LOT-003,Finca 3,0.0,0.0,6.2,7.5,1245.33
2026-08-24,LOT-003,Finca 3,0.0,0.0,5.9,7.14,1185.07
2026-08-31,LOT-003,Finca 3,0.0,0.0,7.2,8.71,1446.19
2026-09-07,LOT-003,Finca 3,36.4,0.0,5.2,29.22,4851.18
2026-09-14,LOT-003,Finca 3,43.4,0.0,5.5,34.0,5643.5
2026-09-21,LOT-003,Finca 3,44.7,0.0,5.6,34.94,5799.54
2026-09-28,LOT-003,Finca 3,38.3,0.0,4.7,29.82,4949.46
2026-10-05,LOT-003,Finca 3,42.5,0.0,6.0,34.03,5649.81
2026-10-12,LOT-003,Finca 3,34.9,0.0,5.9,29.13,4834.92
2026-10-19,LOT-003,Finca 3,35.8,0.0,5.2,28.85,4788.44
2026-10-26,LOT-003,Finca 3,36.9,0.0,6.6,31.23,5184.68
2026-11-02,LOT-003,Finca 3,45.5,2.4,4.8,80.0,13280.17
2026-11-09,LOT-003,Finca 3,29.3,3.1,4.7,82.98,13775.34
2026-11-16,LOT-003,Finca 3,37.9,3.1,5.0,88.77,14734.99
2026-11-23,LOT-003,Finca 3,39.5,2.4,6.2,77.94,12937.87
2026-11-30,LOT-003,Finca 3,39.4,2.5,6.3,79.92,13266.72
2026-12-07,LOT-003,Finca 3,42.7,2.8,6.0,87.33,14497.28
2026-12-14,LOT-003,Finca 3,28.5,2.0,5.9,63.07,10470.28
2026-12-21,LOT-003,Finca 3,40.7,2.8,5.4,85.35,14167.6
2026-12-28,LOT-003,Finca 3,32.4,3.3,5.3,89.52,14861.15
2027-01-04,LOT-003,Finca 3,0.0,2.5,5.4,54.03,8969.64
2027-01-11,LOT-003,Finca 3,0.0,3.1,5.4,65.43,10862.04
2027-01-18,LOT-003,Finca 3,0.0,2.4,5.3,52.04,8638.14
2027-01-25,LOT-003,Finca 3,0.0,2.5,5.1,53.7,8913.54
2027-02-01,LOT-003,Finca 3,0.0,2.9,5.0,61.18,10155.71
2027-02-08,LOT-003,Finca 3,0.0,2.6,4.3,54.63,9068.41
2027-02-15,LOT-003,Finca 3,0.0,2.7,5.4,57.89,9609.41
2027-02-22,LOT-003,Finca 3,0.0,2.3,5.6,50.52,8386.65
2027-03-01,LOT-003,Finca 3,0.0,2.7,5.5,58.01,9629.49
2027-03-08,LOT-003,Finca 3,0.0,2.6,4.7,55.16,9157.39
2027-03-15,LOT-003,Finca 3,0.0,3.1,5.0,65.04,10797.14
2027-03-22,LOT-003,Finca 3,0.0,2.7,6.0,58.64,9734.41
2027-03-29,LOT-003,Finca 3,0.0,3.0,6.0,64.38,10687.08
2027-04-05,LOT-003,Finca 3,0.0,0.0,5.5,6.65,1104.73
2027-04-12,LOT-003,Finca 3,0.0,0.0,6.7,8.11,1345.76
2027-04-19,LOT-003,Finca 3,0.0,0.0,6.3,7.62,1265.42
2027-04-26,LOT-003,Finca 3,0.0,0.0,5.4,6.59,1093.61
2027-05-03,LOT-003,Finca 3,0.0,0.0,6.4,7.81,1296.13
2027-05-10,LOT-003,Finca 3,0.0,0.0,5.9,7.2,1194.87
2027-05-17,LOT-003,Finca 3,0.0,0.0,6.2,7.56,1255.62
2027-05-24,LOT-003,Finca 3,0.0,0.0,7.0,8.54,1417.64
2027-05-31,LOT-003,Finca 3,0.0,0.0,6.1,7.44,1235.37
2027-06-07,LOT-003,Finca 3,0.0,0.0,6.0,7.32,1215.12
2027-06-14,LOT-003,Finca 3,0.0,0.0,5.4,6.59,1093.61
2027-06-21,LOT-003,Finca 3,0.0,0.0,5.9,7.2,1194.87
2027-06-28,LOT-003,Finca 3,0.0,0.0,6.2,7.56,1255.62
2027-07-05,LOT-003,Finca 3,0.0,0.0,6.3,7.69,1275.88
2027-07-12,LOT-003,Finca 3,0.0,0.0,5.8,7.08,1174.62
2027-07-19,LOT-003,Finca 3,0.0,0.0,6.0,7.32,1215.12
2027-07-26,LOT-003,Finca 3,0.0,0.0,6.6,8.05,1336.63
2027-08-02,LOT-003,Finca 3,0.0,0.0,6.0,7.32,1215.12
2026-08-10,LOT-004,Finca 3,0.0,0.0,5.8,7.02,2749.65
2026-08-17,LOT-004,Finca 3,0.0,0.0,6.0,7.26,2844.47
2026-08-24,LOT-004,Finca 3,0.0,0.0,5.5,6.65,2607.43
2026-08-31,LOT-004,Finca 3,0.0,0.0,6.3,7.62,2986.69
2026-09-07,LOT-004,Finca 3,36.6,0.0,5.7,29.95,11736.37
2026-09-14,LOT-004,Finca 3,34.0,0.0,5.0,27.47,10762.75
2026-09-21,LOT-004,Finca 3,39.4,0.0,6.8,33.05,12948.99
2026-09-28,LOT-004,Finca 3,43.4,0.0,5.7,34.24,13414.84
