anio_campana,lote_id,nombre_finca,variedad,superficie_ha,factor_clima_proyectado,rinde_proyectado_t_ha,produccion_proyectada_t
2026-2027,LOT-001,Finca 3,Limon Lisboa,436.6,0.9,31.8,13883.9
2026-2027,LOT-002,Finca 5,Genova,418.1,0.9,32.8,13713.7
2026-2027,LOT-003,Finca 3,Limon Lisboa,166.0,0.9,33.6,5577.6
2026-2027,LOT-004,Finca 3,Genova,391.8,0.9,37.8,14810.0
2026-2027,LOT-005,Finca 5,Limon Lisboa,139.7,0.9,29.5,4121.1
2026-2027,LOT-006,Finca 1,Limon Lisboa,135.4,0.9,30.8,4170.3
2026-2027,LOT-007,Finca 2,Genova,231.7,0.9,38.9,9013.1
2026-2027,LOT-008,Finca 5,Genova,187.1,0.9,35.1,6567.2
2026-2027,LOT-009,Finca 5,Genova,50.2,0.9,28.3,1420.7
2026-2027,LOT-010,Finca 5,Limon Lisboa,478.9,0.9,33.7,16138.9
2026-2027,LOT-011,Finca 3,Limon Lisboa,308.0,0.9,31.2,9609.6
2026-2027,LOT-012,Finca 2,Limon Lisboa,121.7,0.9,28.0,3407.6
2026-2027,LOT-013,Finca 5,Genova,236.5,0.9,31.6,7473.4
2026-2027,LOT-014,Finca 4,Genova,478.2,0.9,24.7,11811.5
2026-2027,LOT-015,Finca 4,Limon Lisboa,202.6,0.9,23.7,4801.6
2026-2027,LOT-016,Finca 3,Limon Eureka,33.3,0.9,29.6,985.7
2026-2027,LOT-017,Finca 1,Genova,386.0,0.9,27.2,10499.2
2026-2027,LOT-018,Finca 5,Limon Eureka,424.9,0.9,32.9,13979.2
2026-2027,LOT-019,Finca 3,Limon Lisboa,439.7,0.9,27.9,12267.6
2026-2027,LOT-020,Finca 1,Genova,170.0,0.9,26.6,4522.0
2026-2027,LOT-021,Finca 3,Limon Eureka,153.7,0.9,36.3,5579.3
2026-2027,LOT-022,Finca 1,Limon Lisboa,110.0,0.9,30.9,3399.0
2026-2027,LOT-023,Finca 1,Limon Eureka,327.9,0.9,32.3,10591.2
2026-2027,LOT-024,Finca 1,Limon Lisboa,35.9,0.9,27.6,990.8
2026-2027,LOT-025,Finca 1,Limon Eureka,179.3,0.9,30.2,5414.9
2026-2027,LOT-026,Finca 4,Limon Eureka,356.4,0.9,31.3,11155.3
2026-2027,LOT-027,Finca 3,Limon Eureka,108.0,0.9,27.0,2916.0
2026-2027,LOT-028,Finca 3,Limon Eureka,175.4,0.9,33.6,5893.4
2026-2027,LOT-029,Finca 1,Genova,317.4,0.9,27.7,8792.0
2026-2027,LOT-030,Finca 1,Limon Eureka,398.1,0.9,30.9,12301.3
2026-2027,LOT-031,Finca 1,Limon Eureka,72.4,0.9,28.8,2085.1
2026-2027,LOT-032,Finca 2,Limon Eureka,434.7,0.9,38.2,16605.5
2026-2027,LOT-033,Finca 2,Genova,119.3,0.9,31.9,3805.7
2026-2027,LOT-034,Finca 1,Limon Eureka,208.7,0.9,28.2,5885.3
2026-2027,LOT-035,Finca 5,Limon Eureka,382.8,0.9,33.4,12785.5
2026-2027,LOT-036,Finca 2,Genova,238.3,0.9,28.0,6672.4
2026-2027,LOT-037,Finca 1,Limon Eureka,319.9,0.9,33.3,10652.7
2026-2027,LOT-038,Finca 1,Limon Lisboa,466.1,0.9,22.8,10627.1
2026-2027,LOT-039,Finca 3,Genova,449.2,0.9,25.4,11409.7
2026-2027,LOT-040,Finca 3,Genova,442.6,0.9,32.1,14207.5
