fecha,mes,anio,lluvia_semanal_mm,temperatura_media_c,riesgo_helada
2010-01-04,1,2010,48.8,26.5,0
2010-01-11,1,2010,16.0,21.3,0
2010-01-18,1,2010,23.8,29.2,0
2010-01-25,1,2010,14.6,26.4,0
2010-02-01,2,2010,20.5,27.8,0
2010-02-08,2,2010,44.8,28.7,0
2010-02-15,2,2010,18.2,25.1,0
2010-02-22,2,2010,10.6,29.3,0
2010-03-01,3,2010,14.8,22.4,0
2010-03-08,3,2010,51.3,26.9,0
2010-03-15,3,2010,39.6,24.1,0
2010-03-22,3,2010,71.2,27.0,0
2010-03-29,3,2010,3.2,28.5,0
2010-04-05,4,2010,1.7,23.1,0
2010-04-12,4,2010,7.6,21.1,0
2010-04-19,4,2010,4.0,22.2,0
2010-04-26,4,2010,3.9,18.5,0
2010-05-03,5,2010,14.4,23.5,0
2010-05-10,5,2010,5.5,21.5,0
2010-05-17,5,2010,26.9,20.5,0
2010-05-24,5,2010,4.5,19.0,0
2010-05-31,5,2010,25.2,19.1,0
2010-06-07,6,2010,0.0,8.3,0
2010-06-14,6,2010,0.1,12.3,0
2010-06-21,6,2010,10.0,21.5,0
2010-06-28,6,2010,0.5,14.7,0
2010-07-05,7,2010,1.0,14.2,0
2010-07-12,7,2010,0.0,23.9,0
2010-07-19,7,2010,7.3,13.9,0
2010-07-26,7,2010,2.0,9.3,0
2010-08-02,8,2010,0.2,19.6,0
2010-08-09,8,2010,1.7,8.4,0
2010-08-16,8,2010,0.0,10.0,0
2010-08-23,8,2010,0.0,11.7,0
2010-08-30,8,2010,1.0,9.8,0
2010-09-06,9,2010,14.1,21.9,0
2010-09-13,9,2010,8.0,17.7,0
2010-09-20,9,2010,6.8,18.9,0
2010-09-27,9,2010,15.0,20.7,0
2010-10-04,10,2010,25.8,19.0,0
2010-10-11,10,2010,7.7,20.8,0
2010-10-18,10,2010,17.9,23.9,0
2010-10-25,10,2010,3.7,20.8,0
2010-11-01,11,2010,39.3,26.7,0
2010-11-08,11,2010,51.6,26.9,0
2010-11-15,11,2010,19.9,26.5,0
2010-11-22,11,2010,13.6,22.4,0
2010-11-29,11,2010,46.7,23.7,0
2010-12-06,12,2010,14.6,28.9,0
2010-12-13,12,2010,40.8,23.4,0
2010-12-20,12,2010,34.9,23.3,0
2010-12-27,12,2010,18.5,28.6,0
2011-01-03,1,2011,27.5,26.0,0
2011-01-10,1,2011,69.8,21.8,0
2011-01-17,1,2011,31.3,22.8,0
2011-01-24,1,2011,42.4,25.6,0
2011-01-31,1,2011,48.8,23.5,0
2011-02-07,2,2011,10.5,23.2,0
2011-02-14,2,2011,23.0,26.5,0
2011-02-21,2,2011,40.2,26.7,0
2011-02-28,2,2011,18.6,26.2,0
