fecha,precio_urea_usd_kg,precio_fungicida_usd_l,precio_gasoil_usd_l,precio_limon_exportacion_usd_t,precio_limon_industria_usd_t
2010-01-04,0.61,16.55,1.07,488.06,47.75
2010-01-11,0.57,16.18,1.09,367.91,58.81
2010-01-18,0.53,17.02,1.07,427.66,51.45
2010-01-25,0.55,15.43,1.09,444.1,25.12
2010-02-01,0.54,15.26,0.97,412.19,61.31
2010-02-08,0.6,16.89,1.02,482.62,54.49
2010-02-15,0.52,15.13,0.96,451.34,61.9
2010-02-22,0.55,16.02,1.0,493.66,44.19
2010-03-01,0.58,15.32,1.01,412.85,53.98
2010-03-08,0.59,17.15,1.1,494.39,46.76
2010-03-15,0.54,15.59,1.12,427.37,70.72
2010-03-22,0.59,18.73,1.03,505.23,87.38
2010-03-29,0.53,14.69,0.96,506.47,37.4
2010-04-05,0.54,17.06,1.06,495.92,62.67
2010-04-12,0.6,15.39,1.02,448.66,69.96
2010-04-19,0.59,17.09,1.11,432.8,80.01
2010-04-26,0.61,17.43,1.14,413.72,53.71
2010-05-03,0.52,17.42,1.0,510.05,76.45
2010-05-10,0.58,16.89,1.0,445.34,75.0
2010-05-17,0.58,16.51,1.03,397.36,47.15
2010-05-24,0.63,15.02,1.06,517.58,44.94
2010-05-31,0.56,17.69,1.05,590.63,39.98
2010-06-07,0.59,16.35,1.09,491.91,51.2
2010-06-14,0.56,14.33,1.08,484.3,67.66
2010-06-21,0.59,17.01,1.06,435.02,51.45
2010-06-28,0.6,18.3,1.04,469.79,49.14
2010-07-05,0.6,17.38,1.15,430.33,55.46
2010-07-12,0.56,17.36,1.04,427.9,70.58
2010-07-19,0.58,15.48,1.12,506.86,61.61
2010-07-26,0.56,17.25,1.01,458.38,34.17
2010-08-02,0.59,14.7,1.13,441.03,57.46
2010-08-09,0.53,16.24,1.13,351.74,75.32
2010-08-16,0.57,15.14,1.0,515.3,48.65
2010-08-23,0.51,17.97,1.07,407.75,62.6
2010-08-30,0.51,17.93,1.11,463.61,64.34
2010-09-06,0.62,16.6,1.0,457.46,85.03
2010-09-13,0.51,16.17,1.08,434.57,48.21
2010-09-20,0.6,19.41,1.07,397.94,41.41
2010-09-27,0.56,17.94,1.08,431.55,52.93
2010-10-04,0.51,17.62,1.1,367.54,79.08
2010-10-11,0.58,18.31,0.99,372.66,58.21
2010-10-18,0.57,18.79,1.09,415.74,47.68
2010-10-25,0.6,15.45,1.14,412.48,79.09
2010-11-01,0.58,16.46,1.03,408.88,65.14
