fecha,lote_id,nombre_finca,demanda_urea_kg_ha,demanda_fungicida_l_ha,demanda_gasoil_l_ha,costo_insumos_usd_ha,costo_total_lote_usd
2010-01-04,LOT-001,Finca 3,39.2,0.0,1.9,25.97,11338.17
2010-01-11,LOT-001,Finca 3,39.3,0.0,3.0,25.62,11185.14
2010-01-18,LOT-001,Finca 3,36.4,0.0,2.1,21.51,9389.53
2010-01-25,LOT-001,Finca 3,52.8,0.0,2.3,31.58,13789.05
2010-02-01,LOT-001,Finca 3,0.0,0.0,2.7,2.66,1161.06
2010-02-08,LOT-001,Finca 3,0.0,0.0,2.7,2.76,1205.16
2010-02-15,LOT-001,Finca 3,0.0,0.0,2.7,2.56,1116.12
2010-02-22,LOT-001,Finca 3,0.0,0.0,3.5,3.5,1526.82
2010-03-01,LOT-001,Finca 3,0.0,0.0,3.8,3.8,1657.38
2010-03-08,LOT-001,Finca 3,0.0,0.0,2.8,3.03,1323.23
2010-03-15,LOT-001,Finca 3,0.0,0.0,2.0,2.25,983.27
2010-03-22,LOT-001,Finca 3,0.0,0.0,4.0,4.14,1807.58
2010-03-29,LOT-001,Finca 3,0.0,0.0,2.9,2.81,1225.44
2010-04-05,LOT-001,Finca 3,0.0,0.0,7.4,7.83,3417.4
2010-04-12,LOT-001,Finca 3,0.0,0.0,4.2,4.29,1871.97
2010-04-19,LOT-001,Finca 3,0.0,0.0,6.2,6.83,2983.51
2010-04-26,LOT-001,Finca 3,0.0,0.0,7.5,8.59,3750.29
2010-05-03,LOT-001,Finca 3,0.0,0.0,5.7,5.72,2496.21
2010-05-10,LOT-001,Finca 3,0.0,0.0,5.8,5.82,2540.84
2010-05-17,LOT-001,Finca 3,0.0,0.0,6.2,6.42,2804.5
2010-05-24,LOT-001,Finca 3,0.0,0.0,5.6,5.89,2569.89
2010-05-31,LOT-001,Finca 3,0.0,0.0,5.8,6.04,2636.13
2010-06-07,LOT-001,Finca 3,0.0,0.0,5.7,6.25,2726.75
2010-06-14,LOT-001,Finca 3,0.0,0.0,5.5,5.94,2592.49
2010-06-21,LOT-001,Finca 3,0.0,0.0,7.0,7.4,3231.74
2010-06-28,LOT-001,Finca 3,0.0,0.0,6.4,6.62,2891.87
2010-07-05,LOT-001,Finca 3,0.0,0.0,6.2,7.13,3113.21
2010-07-12,LOT-001,Finca 3,0.0,0.0,6.6,6.91,3018.1
2010-07-19,LOT-001,Finca 3,0.0,0.0,5.8,6.48,2830.54
2010-07-26,LOT-001,Finca 3,0.0,0.0,5.4,5.43,2372.68
2010-08-02,LOT-001,Finca 3,0.0,0.0,5.5,6.24,2722.3
2010-08-09,LOT-001,Finca 3,0.0,0.0,6.0,6.78,2960.85
2010-08-16,LOT-001,Finca 3,0.0,0.0,5.2,5.15,2249.64
2010-08-23,LOT-001,Finca 3,0.0,0.0,5.6,5.99,2616.01
2010-08-30,LOT-001,Finca 3,0.0,0.0,5.6,6.2,2707.66
2010-09-06,LOT-001,Finca 3,52.9,1.4,5.4,60.87,26574.08
2010-09-13,LOT-001,Finca 3,50.9,2.2,6.1,68.72,30004.14
2010-09-20,LOT-001,Finca 3,42.8,0.0,2.5,28.31,12360.0
2010-09-27,LOT-001,Finca 3,31.1,0.0,3.2,20.82,9090.08
2010-10-04,LOT-001,Finca 3,38.4,2.0,5.1,59.73,26079.09
2010-10-11,LOT-001,Finca 3,51.0,0.0,4.9,34.46,15045.43
2010-10-18,LOT-001,Finca 3,43.4,0.0,2.6,27.59,12044.32
2010-10-25,LOT-001,Finca 3,36.4,0.0,3.4,25.69,11214.97
2010-11-01,LOT-001,Finca 3,51.2,2.1,3.6,68.39,29859.72
2010-11-08,LOT-001,Finca 3,45.6,2.5,4.2,69.7,30432.92
2010-11-15,LOT-001,Finca 3,43.2,0.0,3.4,27.97,12210.31
2010-11-22,LOT-001,Finca 3,41.9,2.0,6.3,59.24,25862.32
2010-11-29,LOT-001,Finca 3,40.3,1.8,3.9,56.46,24652.09
2010-12-06,LOT-001,Finca 3,48.6,0.0,3.5,34.14,14905.5
2010-12-13,LOT-001,Finca 3,42.7,2.1,5.1,63.31,27641.62
2010-12-20,LOT-001,Finca 3,36.9,0.0,2.7,24.88,10862.04
2010-12-27,LOT-001,Finca 3,31.7,0.0,2.4,21.06,9193.59
2011-01-03,LOT-001,Finca 3,40.7,0.0,3.5,25.86,11288.33
2011-01-10,LOT-001,Finca 3,42.1,0.0,3.6,31.28,13658.06
2011-01-17,LOT-001,Finca 3,49.0,0.0,3.8,30.54,13335.75
2011-01-24,LOT-001,Finca 3,44.6,0.0,3.0,27.65,12072.35
2011-01-31,LOT-001,Finca 3,37.4,0.0,3.6,23.21,10133.52
2011-02-07,LOT-001,Finca 3,0.0,0.0,4.3,4.47,1953.4
2011-02-14,LOT-001,Finca 3,0.0,0.0,3.3,3.63,1586.51
2011-02-21,LOT-001,Finca 3,0.0,0.0,4.5,4.9,2137.82
2011-02-28,LOT-001,Finca 3,0.0,0.0,1.8,1.98,862.41
2011-03-07,LOT-001,Finca 3,0.0,0.0,2.1,2.22,970.14
2011-03-14,LOT-001,Finca 3,0.0,0.0,3.7,3.68,1608.5
2011-03-21,LOT-001,Finca 3,0.0,0.0,3.2,3.34,1458.2
2011-03-28,LOT-001,Finca 3,0.0,0.0,4.1,4.74,2069.35
2011-04-04,LOT-001,Finca 3,0.0,0.0,6.0,6.89,3006.33
2011-04-11,LOT-001,Finca 3,0.0,0.0,5.3,5.25,2293.27
2011-04-18,LOT-001,Finca 3,0.0,0.0,5.8,6.18,2697.7
2011-04-25,LOT-001,Finca 3,0.0,0.0,4.8,4.77,2084.26
2011-05-02,LOT-001,Finca 3,0.0,0.0,5.1,5.35,2336.68
2011-05-09,LOT-001,Finca 3,0.0,0.0,6.8,7.05,3077.63
2011-05-16,LOT-001,Finca 3,0.0,0.0,6.7,7.03,3070.67
2011-05-23,LOT-001,Finca 3,0.0,0.0,6.3,7.3,3185.81
2011-05-30,LOT-001,Finca 3,0.0,0.0,4.6,5.18,2260.68
2011-06-06,LOT-001,Finca 3,0.0,0.0,5.7,5.66,2469.47
2011-06-13,LOT-001,Finca 3,0.0,0.0,5.0,5.67,2476.66
2011-06-20,LOT-001,Finca 3,0.0,0.0,6.9,7.57,3303.29
2011-06-27,LOT-001,Finca 3,0.0,0.0,5.5,6.03,2633.13
2011-07-04,LOT-001,Finca 3,0.0,0.0,5.1,5.13,2240.37
2011-07-11,LOT-001,Finca 3,0.0,0.0,6.0,6.87,2998.21
2011-07-18,LOT-001,Finca 3,0.0,0.0,5.5,6.31,2755.41
2011-07-25,LOT-001,Finca 3,0.0,0.0,7.2,7.76,3388.87
2011-08-01,LOT-001,Finca 3,0.0,0.0,5.4,5.85,2551.98
2011-08-08,LOT-001,Finca 3,0.0,0.0,4.9,5.08,2216.11
2011-08-15,LOT-001,Finca 3,0.0,0.0,4.3,4.53,1979.69
2011-08-22,LOT-001,Finca 3,0.0,0.0,6.0,6.45,2817.55
2011-08-29,LOT-001,Finca 3,0.0,0.0,5.6,5.94,2592.96
2011-09-05,LOT-001,Finca 3,35.1,0.0,4.0,24.18,10556.74
2011-09-12,LOT-001,Finca 3,45.6,2.2,6.6,66.43,29005.35
2011-09-19,LOT-001,Finca 3,45.6,0.0,2.3,26.91,11747.58
2011-09-26,LOT-001,Finca 3,37.1,2.4,5.8,65.91,28777.72
2011-10-03,LOT-001,Finca 3,43.1,0.0,2.3,28.91,12623.66
2011-10-10,LOT-001,Finca 3,45.3,0.0,2.4,25.35,11065.98
2011-10-17,LOT-001,Finca 3,41.8,0.0,4.2,28.09,12266.05
2011-10-24,LOT-001,Finca 3,39.0,1.7,4.7,57.25,24995.07
2011-10-31,LOT-001,Finca 3,47.3,0.0,3.2,27.06,11812.94
2011-11-07,LOT-001,Finca 3,41.6,0.0,2.6,27.0,11789.93
2011-11-14,LOT-001,Finca 3,44.7,0.0,2.3,29.6,12921.33
2011-11-21,LOT-001,Finca 3,43.8,2.0,4.8,67.24,29358.42
2011-11-28,LOT-001,Finca 3,39.1,2.1,5.5,58.98,25748.52
2011-12-05,LOT-001,Finca 3,43.5,1.1,4.9,49.8,21743.88
2011-12-12,LOT-001,Finca 3,40.3,0.0,4.2,26.55,11592.84
2011-12-19,LOT-001,Finca 3,36.9,2.2,6.7,62.95,27484.25
2011-12-26,LOT-001,Finca 3,35.7,0.0,3.3,24.69,10779.16
2012-01-02,LOT-001,Finca 3,38.3,0.0,2.6,23.12,10092.17
2012-01-09,LOT-001,Finca 3,38.3,0.0,2.4,24.35,10630.87
2012-01-16,LOT-001,Finca 3,55.9,0.0,3.7,35.57,15531.01
2012-01-23,LOT-001,Finca 3,47.8,0.0,3.4,30.09,13136.31
2012-01-30,LOT-001,Finca 3,34.3,0.0,3.3,23.76,10372.83
2012-02-06,LOT-001,Finca 3,0.0,0.0,3.9,3.9,1701.4
2012-02-13,LOT-001,Finca 3,0.0,0.0,2.3,2.39,1042.08
2012-02-20,LOT-001,Finca 3,0.0,0.0,3.8,4.15,1811.67
2012-02-27,LOT-001,Finca 3,0.0,0.0,3.6,3.74,1633.6
2012-03-05,LOT-001,Finca 3,0.0,0.0,4.5,5.02,2191.48
2012-03-12,LOT-001,Finca 3,0.0,0.0,2.7,2.91,1268.63
2012-03-19,LOT-001,Finca 3,0.0,0.0,2.1,2.12,926.43
2012-03-26,LOT-001,Finca 3,0.0,0.0,2.7,2.87,1254.5
2012-04-02,LOT-001,Finca 3,0.0,0.0,7.1,8.01,3495.54
2012-04-09,LOT-001,Finca 3,0.0,0.0,4.5,4.99,2179.07
2012-04-16,LOT-001,Finca 3,0.0,0.0,4.3,4.87,2124.82
2012-04-23,LOT-001,Finca 3,0.0,0.0,6.1,6.5,2836.38
2012-04-30,LOT-001,Finca 3,0.0,0.0,5.6,5.87,2563.61
2012-05-07,LOT-001,Finca 3,0.0,0.0,6.0,6.37,2779.64
2012-05-14,LOT-001,Finca 3,0.0,0.0,6.8,7.03,3067.77
2012-05-21,LOT-001,Finca 3,0.0,0.0,5.6,5.39,2353.8
2012-05-28,LOT-001,Finca 3,0.0,0.0,4.5,4.91,2142.28
2012-06-04,LOT-001,Finca 3,0.0,0.0,7.6,8.17,3567.06
2012-06-11,LOT-001,Finca 3,0.0,0.0,5.2,5.83,2543.84
